user_id,role_id,full_name,email,password_hash,is_active,created_at,updated_at
1,1,User 1,user1@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
2,2,User 2,user2@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
3,2,User 3,user3@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
4,1,User 4,user4@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
5,1,User 5,user5@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
6,1,User 6,user6@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
7,2,User 7,user7@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
8,2,User 8,user8@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
9,2,User 9,user9@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
10,2,User 10,user10@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
11,1,User 11,user11@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
12,2,User 12,user12@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
13,2,User 13,user13@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
14,2,User 14,user14@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
15,2,User 15,user15@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
16,2,User 16,user16@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
17,1,User 17,user17@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
18,1,User 18,user18@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
19,2,User 19,user19@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
20,1,User 20,user20@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
21,2,User 21,user21@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
22,2,User 22,user22@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
23,1,User 23,user23@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
24,1,User 24,user24@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
25,2,User 25,user25@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
26,2,User 26,user26@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
27,2,User 27,user27@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
28,1,User 28,user28@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
29,2,User 29,user29@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
30,2,User 30,user30@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
31,2,User 31,user31@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
32,1,User 32,user32@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
33,2,User 33,user33@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
34,2,User 34,user34@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
35,1,User 35,user35@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
36,2,User 36,user36@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
37,2,User 37,user37@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
38,1,User 38,user38@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
39,2,User 39,user39@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
40,1,User 40,user40@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
41,1,User 41,user41@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
42,2,User 42,user42@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
43,2,User 43,user43@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
44,2,User 44,user44@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
45,2,User 45,user45@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
46,1,User 46,user46@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
47,2,User 47,user47@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
48,1,User 48,user48@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
49,2,User 49,user49@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
50,2,User 50,user50@example.com,hashed,True,2025-12-15 15:10:09.476059,2025-12-15 15:10:09.476060
